participant,blocknum,blockcode,trialnum,trialcode,response,correct,latency,stimuli,Condition,block.type,block
4,10,Lattebad,71,fondenteright,23,1,822,fond5,DGMB,test,testMilkBad
4,10,Lattebad,73,badleft,18,1,1431,orribile,DGMB,test,testMilkBad
4,10,Lattebad,75,fondenteright,23,1,1026,fond6,DGMB,test,testMilkBad
4,10,Lattebad,77,badleft,18,1,814,brutto,DGMB,test,testMilkBad
4,10,Lattebad,79,fondenteright,23,1,1159,fond1,DGMB,test,testMilkBad
4,10,Lattebad,81,goodright,23,1,1229,buono,DGMB,test,testMilkBad
4,10,Lattebad,83,fondenteright,23,1,1153,fond2,DGMB,test,testMilkBad
4,10,Lattebad,85,goodright,23,1,1108,paradiso,DGMB,test,testMilkBad
4,10,Lattebad,87,fondenteright,23,1,639,fond4,DGMB,test,testMilkBad
4,10,Lattebad,89,badleft,18,1,686,schifo,DGMB,test,testMilkBad
4,10,Lattebad,91,latteleft,18,1,831,latte3,DGMB,test,testMilkBad
4,10,Lattebad,93,badleft,18,1,915,cattivo,DGMB,test,testMilkBad
4,10,Lattebad,95,latteleft,18,1,881,latte5,DGMB,test,testMilkBad
4,10,Lattebad,97,badleft,18,1,1416,terribile,DGMB,test,testMilkBad
4,10,Lattebad,99,fondenteright,23,1,792,fond3,DGMB,test,testMilkBad
4,10,Lattebad,101,goodright,23,1,1500,pace,DGMB,test,testMilkBad
4,10,Lattebad,103,latteleft,18,1,663,latte1,DGMB,test,testMilkBad
4,10,Lattebad,105,badleft,18,1,915,male,DGMB,test,testMilkBad
4,10,Lattebad,107,latteleft,18,1,689,latte4,DGMB,test,testMilkBad
4,10,Lattebad,109,goodright,23,1,802,paradiso,DGMB,test,testMilkBad
4,10,Lattebad,111,latteleft,18,1,2169,latte6,DGMB,test,testMilkBad
4,10,Lattebad,113,badleft,18,1,645,odio,DGMB,test,testMilkBad
4,10,Lattebad,115,fondenteright,23,1,823,fond7,DGMB,test,testMilkBad
4,10,Lattebad,117,badleft,18,1,699,odio,DGMB,test,testMilkBad
4,10,Lattebad,119,fondenteright,23,1,695,fond2,DGMB,test,testMilkBad
4,10,Lattebad,121,badleft,18,1,704,schifo,DGMB,test,testMilkBad
4,14,Fondentebad,2,badleft,18,1,1153,nocivo,MGDB,practice,practiceMilkGood
4,14,Fondentebad,4,latteright,23,1,895,latte3,MGDB,practice,practiceMilkGood
4,14,Fondentebad,6,badleft,18,1,872,schifo,MGDB,practice,practiceMilkGood
4,14,Fondentebad,8,fondenteleft,18,1,799,fond6,MGDB,practice,practiceMilkGood
4,14,Fondentebad,10,badleft,18,1,893,fastidioso,MGDB,practice,practiceMilkGood
4,14,Fondentebad,12,fondenteleft,18,1,1326,fond5,MGDB,practice,practiceMilkGood
4,14,Fondentebad,14,goodright,23,1,716,felicità,MGDB,practice,practiceMilkGood
4,14,Fondentebad,16,latteright,23,1,1264,latte6,MGDB,practice,practiceMilkGood
4,14,Fondentebad,18,goodright,23,1,747,ridere,MGDB,practice,practiceMilkGood
4,14,Fondentebad,20,fondenteleft,18,1,631,fond3,MGDB,practice,practiceMilkGood
4,14,Fondentebad,22,badleft,18,1,1139,agonia,MGDB,practice,practiceMilkGood
4,14,Fondentebad,24,latteright,23,1,934,latte5,MGDB,practice,practiceMilkGood
4,14,Fondentebad,26,badleft,18,1,816,cattivo,MGDB,practice,practiceMilkGood
4,14,Fondentebad,28,latteright,23,1,1057,latte7,MGDB,practice,practiceMilkGood
4,14,Fondentebad,30,goodright,23,1,810,amore,MGDB,practice,practiceMilkGood
4,14,Fondentebad,32,latteright,23,1,603,latte2,MGDB,practice,practiceMilkGood
4,14,Fondentebad,34,badleft,18,1,650,odio,MGDB,practice,practiceMilkGood
4,14,Fondentebad,36,latteright,23,1,995,latte1,MGDB,practice,practiceMilkGood
4,14,Fondentebad,38,badleft,18,1,735,terribile,MGDB,practice,practiceMilkGood
4,14,Fondentebad,40,fondenteleft,18,1,744,fond1,MGDB,practice,practiceMilkGood
4,14,Fondentebad,43,fondenteleft,18,1,1037,fond2,MGDB,test,testMilkGood
4,14,Fondentebad,45,goodright,23,1,675,pace,MGDB,test,testMilkGood
4,14,Fondentebad,47,latteright,23,1,1073,latte4,MGDB,test,testMilkGood
4,14,Fondentebad,49,badleft,18,1,749,dolore,MGDB,test,testMilkGood
4,14,Fondentebad,51,latteright,23,1,593,latte4,MGDB,test,testMilkGood
4,14,Fondentebad,53,goodright,23,1,853,paradiso,MGDB,test,testMilkGood
4,14,Fondentebad,55,fondenteleft,18,1,934,fond7,MGDB,test,testMilkGood
4,14,Fondentebad,57,badleft,18,1,695,male,MGDB,test,testMilkGood
4,14,Fondentebad,59,latteright,23,1,633,latte5,MGDB,test,testMilkGood
4,14,Fondentebad,61,goodright,23,1,837,meraviglioso,MGDB,test,testMilkGood
4,14,Fondentebad,63,fondenteleft,18,1,675,fond4,MGDB,test,testMilkGood
4,14,Fondentebad,65,goodright,23,1,655,buono,MGDB,test,testMilkGood
4,14,Fondentebad,67,latteright,23,1,753,latte7,MGDB,test,testMilkGood
4,14,Fondentebad,69,goodright,23,1,613,gioia,MGDB,test,testMilkGood
4,14,Fondentebad,71,fondenteleft,18,1,534,fond4,MGDB,test,testMilkGood
4,14,Fondentebad,73,goodright,23,1,800,bello,MGDB,test,testMilkGood
4,14,Fondentebad,75,latteright,23,1,622,latte2,MGDB,test,testMilkGood
4,14,Fondentebad,77,goodright,23,1,722,gloria,MGDB,test,testMilkGood
4,14,Fondentebad,79,fondenteleft,18,1,833,fond5,MGDB,test,testMilkGood
4,14,Fondentebad,81,badleft,18,1,869,fallimento,MGDB,test,testMilkGood
4,14,Fondentebad,83,fondenteleft,18,1,553,fond2,MGDB,test,testMilkGood
4,14,Fondentebad,85,badleft,18,1,757,brutto,MGDB,test,testMilkGood
4,14,Fondentebad,87,fondenteleft,18,1,491,fond1,MGDB,test,testMilkGood
4,14,Fondentebad,89,badleft,18,1,637,orribile,MGDB,test,testMilkGood
4,14,Fondentebad,91,latteright,23,1,524,latte3,MGDB,test,testMilkGood
4,14,Fondentebad,93,goodright,23,1,667,piacere,MGDB,test,testMilkGood
4,14,Fondentebad,95,fondenteleft,18,1,583,fond3,MGDB,test,testMilkGood
4,14,Fondentebad,97,goodright,23,1,531,stupendo,MGDB,test,testMilkGood
4,14,Fondentebad,99,fondenteleft,18,1,749,fond6,MGDB,test,testMilkGood
4,14,Fondentebad,101,badleft,18,1,1281,disastro,MGDB,test,testMilkGood
4,14,Fondentebad,103,latteright,23,1,975,latte6,MGDB,test,testMilkGood
4,14,Fondentebad,105,badleft,18,1,656,brutto,MGDB,test,testMilkGood
4,14,Fondentebad,107,fondenteleft,18,1,673,fond7,MGDB,test,testMilkGood
4,14,Fondentebad,109,goodright,23,1,821,eccellente,MGDB,test,testMilkGood
4,14,Fondentebad,111,fondenteleft,18,1,601,fond7,MGDB,test,testMilkGood
4,14,Fondentebad,113,badleft,18,1,656,fallimento,MGDB,test,testMilkGood
4,14,Fondentebad,115,latteright,23,1,721,latte1,MGDB,test,testMilkGood
4,14,Fondentebad,117,goodright,23,1,1088,gloria,MGDB,test,testMilkGood
4,14,Fondentebad,119,latteright,23,1,800,latte7,MGDB,test,testMilkGood
4,14,Fondentebad,121,goodright,23,1,575,pace,MGDB,test,testMilkGood
6,10,Fondentebad,2,badleft,18,1,729,disastro,MGDB,practice,practiceMilkGood
6,10,Fondentebad,4,latteright,23,1,754,latte4,MGDB,practice,practiceMilkGood
6,10,Fondentebad,6,goodright,23,1,590,piacere,MGDB,practice,practiceMilkGood
6,10,Fondentebad,8,latteright,23,1,578,latte7,MGDB,practice,practiceMilkGood
6,10,Fondentebad,10,badleft,18,1,524,odio,MGDB,practice,practiceMilkGood
6,10,Fondentebad,12,fondenteleft,18,1,578,fond1,MGDB,practice,practiceMilkGood
6,10,Fondentebad,14,badleft,18,1,572,brutto,MGDB,practice,practiceMilkGood
6,10,Fondentebad,16,latteright,23,1,598,latte2,MGDB,practice,practiceMilkGood
6,10,Fondentebad,18,goodright,23,1,629,eccellente,MGDB,practice,practiceMilkGood
6,10,Fondentebad,20,latteright,23,1,681,latte6,MGDB,practice,practiceMilkGood
6,10,Fondentebad,22,goodright,23,1,608,paradiso,MGDB,practice,practiceMilkGood
6,10,Fondentebad,24,fondenteleft,18,1,521,fond2,MGDB,practice,practiceMilkGood
6,10,Fondentebad,26,goodright,23,1,720,stupendo,MGDB,practice,practiceMilkGood
6,10,Fondentebad,28,fondenteleft,18,1,647,fond3,MGDB,practice,practiceMilkGood
6,10,Fondentebad,30,goodright,23,1,653,gioia,MGDB,practice,practiceMilkGood
6,10,Fondentebad,32,latteright,23,1,599,latte1,MGDB,practice,practiceMilkGood
6,10,Fondentebad,34,badleft,18,1,550,fallimento,MGDB,practice,practiceMilkGood
6,10,Fondentebad,36,fondenteleft,18,1,434,fond6,MGDB,practice,practiceMilkGood
6,10,Fondentebad,38,goodright,23,1,614,felicità,MGDB,practice,practiceMilkGood
6,10,Fondentebad,40,fondenteleft,18,1,632,fond4,MGDB,practice,practiceMilkGood
6,10,Fondentebad,43,latteright,23,1,505,latte5,MGDB,test,testMilkGood
6,10,Fondentebad,45,badleft,18,1,517,agonia,MGDB,test,testMilkGood
6,10,Fondentebad,47,latteright,23,1,572,latte3,MGDB,test,testMilkGood
6,10,Fondentebad,49,badleft,18,1,502,schifo,MGDB,test,testMilkGood
6,10,Fondentebad,51,fondenteleft,18,1,770,fond7,MGDB,test,testMilkGood
6,10,Fondentebad,53,badleft,18,1,675,orribile,MGDB,test,testMilkGood
6,10,Fondentebad,55,fondenteleft,18,1,402,fond5,MGDB,test,testMilkGood
6,10,Fondentebad,57,goodright,23,1,577,ridere,MGDB,test,testMilkGood
6,10,Fondentebad,59,fondenteleft,18,1,570,fond3,MGDB,test,testMilkGood
6,10,Fondentebad,61,badleft,18,1,572,cattivo,MGDB,test,testMilkGood
6,10,Fondentebad,63,fondenteleft,18,1,510,fond7,MGDB,test,testMilkGood
6,10,Fondentebad,65,goodright,23,1,514,gloria,MGDB,test,testMilkGood
6,10,Fondentebad,67,latteright,23,1,585,latte3,MGDB,test,testMilkGood
6,10,Fondentebad,69,goodright,23,1,533,bello,MGDB,test,testMilkGood
6,10,Fondentebad,71,fondenteleft,18,1,559,fond4,MGDB,test,testMilkGood
6,10,Fondentebad,73,badleft,18,1,622,fastidioso,MGDB,test,testMilkGood
6,10,Fondentebad,75,latteright,23,1,698,latte6,MGDB,test,testMilkGood
6,10,Fondentebad,77,badleft,18,1,587,dolore,MGDB,test,testMilkGood
6,10,Fondentebad,79,fondenteleft,18,1,543,fond6,MGDB,test,testMilkGood
6,10,Fondentebad,81,badleft,18,1,844,nocivo,MGDB,test,testMilkGood
6,10,Fondentebad,83,latteright,23,1,530,latte7,MGDB,test,testMilkGood
6,10,Fondentebad,85,goodright,23,1,660,pace,MGDB,test,testMilkGood
6,10,Fondentebad,87,fondenteleft,18,1,592,fond1,MGDB,test,testMilkGood
6,10,Fondentebad,89,badleft,18,1,572,terribile,MGDB,test,testMilkGood
6,10,Fondentebad,91,latteright,23,1,558,latte1,MGDB,test,testMilkGood
6,10,Fondentebad,93,badleft,18,1,581,male,MGDB,test,testMilkGood
6,10,Fondentebad,95,latteright,23,1,593,latte4,MGDB,test,testMilkGood
6,10,Fondentebad,97,badleft,18,1,469,fallimento,MGDB,test,testMilkGood
6,10,Fondentebad,99,fondenteleft,18,1,1361,fond2,MGDB,test,testMilkGood
6,10,Fondentebad,101,goodright,23,1,663,meraviglioso,MGDB,test,testMilkGood
6,10,Fondentebad,103,latteright,23,1,539,latte5,MGDB,test,testMilkGood
6,10,Fondentebad,105,goodright,23,1,597,buono,MGDB,test,testMilkGood
6,10,Fondentebad,107,fondenteleft,18,1,467,fond5,MGDB,test,testMilkGood
6,10,Fondentebad,109,goodright,23,1,520,amore,MGDB,test,testMilkGood
6,10,Fondentebad,111,latteright,23,1,471,latte2,MGDB,test,testMilkGood
6,10,Fondentebad,113,badleft,18,1,531,nocivo,MGDB,test,testMilkGood
6,10,Fondentebad,115,latteright,23,1,557,latte7,MGDB,test,testMilkGood
6,10,Fondentebad,117,goodright,23,1,668,stupendo,MGDB,test,testMilkGood
6,10,Fondentebad,119,fondenteleft,18,1,464,fond3,MGDB,test,testMilkGood
6,10,Fondentebad,121,goodright,23,1,508,ridere,MGDB,test,testMilkGood
6,14,Lattebad,2,badleft,18,1,1547,orribile,DGMB,practice,practiceMilkBad
6,14,Lattebad,4,fondenteright,23,1,798,fond2,DGMB,practice,practiceMilkBad
6,14,Lattebad,6,badleft,18,1,772,brutto,DGMB,practice,practiceMilkBad
6,14,Lattebad,8,fondenteright,23,1,1406,fond7,DGMB,practice,practiceMilkBad
6,14,Lattebad,10,goodright,18,0,1299,felicità,DGMB,practice,practiceMilkBad
6,14,Lattebad,12,latteleft,18,1,2126,latte2,DGMB,practice,practiceMilkBad
6,14,Lattebad,14,goodright,23,1,875,gioia,DGMB,practice,practiceMilkBad
6,14,Lattebad,16,latteleft,18,1,1153,latte7,DGMB,practice,practiceMilkBad
6,14,Lattebad,18,badleft,18,1,1077,terribile,DGMB,practice,practiceMilkBad
6,14,Lattebad,20,latteleft,18,1,1315,latte3,DGMB,practice,practiceMilkBad
6,14,Lattebad,22,goodright,23,1,1166,amore,DGMB,practice,practiceMilkBad
6,14,Lattebad,24,latteleft,18,1,998,latte1,DGMB,practice,practiceMilkBad
6,14,Lattebad,26,badleft,18,1,1869,odio,DGMB,practice,practiceMilkBad
6,14,Lattebad,28,latteleft,18,1,2327,latte4,DGMB,practice,practiceMilkBad
6,14,Lattebad,30,badleft,18,1,1035,schifo,DGMB,practice,practiceMilkBad
6,14,Lattebad,32,latteleft,18,1,841,latte5,DGMB,practice,practiceMilkBad
6,14,Lattebad,34,goodright,23,1,760,stupendo,DGMB,practice,practiceMilkBad
6,14,Lattebad,36,fondenteright,23,1,606,fond6,DGMB,practice,practiceMilkBad
6,14,Lattebad,38,badleft,18,1,997,cattivo,DGMB,practice,practiceMilkBad
6,14,Lattebad,40,fondenteright,23,1,667,fond3,DGMB,practice,practiceMilkBad
6,14,Lattebad,43,fondenteright,23,1,1242,fond4,DGMB,test,testMilkBad
6,14,Lattebad,45,badleft,18,1,936,fallimento,DGMB,test,testMilkBad
6,14,Lattebad,47,latteleft,18,1,1681,latte6,DGMB,test,testMilkBad
6,14,Lattebad,49,goodright,23,1,678,ridere,DGMB,test,testMilkBad
6,14,Lattebad,51,fondenteright,18,0,725,fond1,DGMB,test,testMilkBad
6,14,Lattebad,53,goodright,23,1,1252,eccellente,DGMB,test,testMilkBad
6,14,Lattebad,55,latteleft,18,1,748,latte6,DGMB,test,testMilkBad
6,14,Lattebad,57,badleft,18,1,592,disastro,DGMB,test,testMilkBad
6,14,Lattebad,59,fondenteright,23,1,791,fond5,DGMB,test,testMilkBad
6,14,Lattebad,61,goodright,23,1,1139,piacere,DGMB,test,testMilkBad
6,14,Lattebad,63,fondenteright,23,1,702,fond5,DGMB,test,testMilkBad
6,14,Lattebad,65,goodright,18,0,1239,paradiso,DGMB,test,testMilkBad
6,14,Lattebad,67,latteleft,18,1,1437,latte5,DGMB,test,testMilkBad
6,14,Lattebad,69,badleft,18,1,1003,agonia,DGMB,test,testMilkBad
6,14,Lattebad,71,latteleft,18,1,1337,latte7,DGMB,test,testMilkBad
6,14,Lattebad,73,goodright,23,1,793,buono,DGMB,test,testMilkBad
6,14,Lattebad,75,latteleft,18,1,815,latte3,DGMB,test,testMilkBad
6,14,Lattebad,77,badleft,18,1,1329,fastidioso,DGMB,test,testMilkBad
6,14,Lattebad,79,fondenteright,23,1,657,fond4,DGMB,test,testMilkBad
6,14,Lattebad,81,goodright,23,1,723,bello,DGMB,test,testMilkBad
6,14,Lattebad,83,latteleft,23,0,777,latte4,DGMB,test,testMilkBad
6,14,Lattebad,85,goodright,23,1,1146,meraviglioso,DGMB,test,testMilkBad
6,14,Lattebad,87,fondenteright,18,0,838,fond3,DGMB,test,testMilkBad
6,14,Lattebad,89,goodright,23,1,2588,pace,DGMB,test,testMilkBad
6,14,Lattebad,91,fondenteright,23,1,909,fond2,DGMB,test,testMilkBad
6,14,Lattebad,93,badleft,18,1,1145,nocivo,DGMB,test,testMilkBad
6,14,Lattebad,95,latteleft,18,1,916,latte2,DGMB,test,testMilkBad
6,14,Lattebad,97,badleft,18,1,1019,dolore,DGMB,test,testMilkBad
6,14,Lattebad,99,fondenteright,23,1,1006,fond7,DGMB,test,testMilkBad
6,14,Lattebad,101,goodright,23,1,1466,gloria,DGMB,test,testMilkBad
6,14,Lattebad,103,latteleft,18,1,1941,latte1,DGMB,test,testMilkBad
6,14,Lattebad,105,badleft,18,1,2044,male,DGMB,test,testMilkBad
6,14,Lattebad,107,fondenteright,23,1,969,fond1,DGMB,test,testMilkBad
6,14,Lattebad,109,goodright,23,1,807,pace,DGMB,test,testMilkBad
6,14,Lattebad,111,fondenteright,23,1,760,fond6,DGMB,test,testMilkBad
6,14,Lattebad,113,badleft,18,1,727,cattivo,DGMB,test,testMilkBad
6,14,Lattebad,115,latteleft,18,1,1032,latte5,DGMB,test,testMilkBad
6,14,Lattebad,117,badleft,18,1,620,terribile,DGMB,test,testMilkBad
6,14,Lattebad,119,fondenteright,23,1,816,fond5,DGMB,test,testMilkBad
6,14,Lattebad,121,goodright,23,1,697,gloria,DGMB,test,testMilkBad
8,10,Fondentebad,2,goodright,18,0,1031,meraviglioso,MGDB,practice,practiceMilkGood
8,10,Fondentebad,4,latteright,23,1,1285,latte5,MGDB,practice,practiceMilkGood
8,10,Fondentebad,6,badleft,18,1,1939,orribile,MGDB,practice,practiceMilkGood
8,10,Fondentebad,8,fondenteleft,18,1,954,fond5,MGDB,practice,practiceMilkGood
8,10,Fondentebad,10,badleft,23,0,782,brutto,MGDB,practice,practiceMilkGood
8,10,Fondentebad,12,fondenteleft,18,1,1186,fond6,MGDB,practice,practiceMilkGood
8,10,Fondentebad,14,goodright,23,1,1221,felicità,MGDB,practice,practiceMilkGood
8,10,Fondentebad,16,latteright,23,1,752,latte7,MGDB,practice,practiceMilkGood
8,10,Fondentebad,18,badleft,18,1,724,schifo,MGDB,practice,practiceMilkGood
8,10,Fondentebad,20,latteright,23,1,733,latte2,MGDB,practice,practiceMilkGood
8,10,Fondentebad,22,badleft,18,1,919,fastidioso,MGDB,practice,practiceMilkGood
8,10,Fondentebad,24,fondenteleft,18,1,725,fond4,MGDB,practice,practiceMilkGood
8,10,Fondentebad,26,goodright,23,1,676,gioia,MGDB,practice,practiceMilkGood
8,10,Fondentebad,28,latteright,23,1,619,latte1,MGDB,practice,practiceMilkGood
8,10,Fondentebad,30,goodright,23,1,2052,paradiso,MGDB,practice,practiceMilkGood
8,10,Fondentebad,32,fondenteleft,18,1,635,fond2,MGDB,practice,practiceMilkGood
8,10,Fondentebad,34,goodright,23,1,935,gloria,MGDB,practice,practiceMilkGood
8,10,Fondentebad,36,latteright,23,1,584,latte3,MGDB,practice,practiceMilkGood
8,10,Fondentebad,38,badleft,18,1,653,agonia,MGDB,practice,practiceMilkGood
8,10,Fondentebad,40,fondenteleft,23,0,430,fond1,MGDB,practice,practiceMilkGood
8,10,Fondentebad,43,fondenteleft,18,1,800,fond7,MGDB,test,testMilkGood
8,10,Fondentebad,45,badleft,18,1,558,terribile,MGDB,test,testMilkGood
8,10,Fondentebad,47,latteright,23,1,469,latte4,MGDB,test,testMilkGood
8,10,Fondentebad,49,goodright,23,1,402,pace,MGDB,test,testMilkGood
8,10,Fondentebad,51,latteright,23,1,465,latte6,MGDB,test,testMilkGood
8,10,Fondentebad,53,badleft,18,1,661,cattivo,MGDB,test,testMilkGood
8,10,Fondentebad,55,latteright,23,1,521,latte5,MGDB,test,testMilkGood
8,10,Fondentebad,57,goodright,23,1,768,ridere,MGDB,test,testMilkGood
8,10,Fondentebad,59,latteright,23,1,489,latte3,MGDB,test,testMilkGood
8,10,Fondentebad,61,goodright,18,0,651,stupendo,MGDB,test,testMilkGood
8,10,Fondentebad,63,fondenteleft,18,1,940,fond3,MGDB,test,testMilkGood
8,10,Fondentebad,65,badleft,18,1,717,male,MGDB,test,testMilkGood
8,10,Fondentebad,67,fondenteleft,18,1,492,fond2,MGDB,test,testMilkGood
8,10,Fondentebad,69,badleft,18,1,678,disastro,MGDB,test,testMilkGood
8,10,Fondentebad,71,latteright,23,1,524,latte2,MGDB,test,testMilkGood
8,10,Fondentebad,73,badleft,23,0,580,odio,MGDB,test,testMilkGood
8,10,Fondentebad,75,fondenteleft,18,1,888,fond5,MGDB,test,testMilkGood
8,10,Fondentebad,77,goodright,23,1,742,amore,MGDB,test,testMilkGood
8,10,Fondentebad,79,latteright,23,1,1602,latte4,MGDB,test,testMilkGood
8,10,Fondentebad,81,goodright,23,1,703,bello,MGDB,test,testMilkGood
8,10,Fondentebad,83,fondenteleft,18,1,699,fond1,MGDB,test,testMilkGood
8,10,Fondentebad,85,badleft,18,1,509,fallimento,MGDB,test,testMilkGood
8,10,Fondentebad,87,latteright,23,1,465,latte6,MGDB,test,testMilkGood
8,10,Fondentebad,89,badleft,23,0,509,dolore,MGDB,test,testMilkGood
8,10,Fondentebad,91,latteright,23,1,890,latte1,MGDB,test,testMilkGood
8,10,Fondentebad,93,goodright,18,0,675,buono,MGDB,test,testMilkGood
8,10,Fondentebad,95,fondenteleft,18,1,1049,fond3,MGDB,test,testMilkGood
8,10,Fondentebad,97,goodright,23,1,986,eccellente,MGDB,test,testMilkGood
8,10,Fondentebad,99,fondenteleft,18,1,878,fond4,MGDB,test,testMilkGood
8,10,Fondentebad,101,badleft,18,1,692,nocivo,MGDB,test,testMilkGood
8,10,Fondentebad,103,fondenteleft,18,1,670,fond6,MGDB,test,testMilkGood
8,10,Fondentebad,105,goodright,23,1,674,piacere,MGDB,test,testMilkGood
8,10,Fondentebad,107,fondenteleft,18,1,744,fond7,MGDB,test,testMilkGood
8,10,Fondentebad,109,goodright,23,1,509,pace,MGDB,test,testMilkGood
8,10,Fondentebad,111,latteright,18,0,697,latte7,MGDB,test,testMilkGood
8,10,Fondentebad,113,goodright,18,0,1058,paradiso,MGDB,test,testMilkGood
8,10,Fondentebad,115,fondenteleft,18,1,1010,fond5,MGDB,test,testMilkGood
8,10,Fondentebad,117,badleft,18,1,1796,orribile,MGDB,test,testMilkGood
8,10,Fondentebad,119,latteright,23,1,609,latte1,MGDB,test,testMilkGood
8,10,Fondentebad,121,badleft,18,1,767,cattivo,MGDB,test,testMilkGood
8,14,Lattebad,2,goodright,23,1,827,amore,DGMB,practice,practiceMilkBad
8,14,Lattebad,4,latteleft,18,1,770,latte5,DGMB,practice,practiceMilkBad
8,14,Lattebad,6,goodright,18,0,963,eccellente,DGMB,practice,practiceMilkBad
8,14,Lattebad,8,latteleft,18,1,873,latte4,DGMB,practice,practiceMilkBad
8,14,Lattebad,10,badleft,23,0,421,fallimento,DGMB,practice,practiceMilkBad
8,14,Lattebad,12,latteleft,18,1,1497,latte3,DGMB,practice,practiceMilkBad
8,14,Lattebad,14,goodright,23,1,1842,stupendo,DGMB,practice,practiceMilkBad
8,14,Lattebad,16,latteleft,18,1,799,latte6,DGMB,practice,practiceMilkBad
8,14,Lattebad,18,goodright,23,1,821,felicità,DGMB,practice,practiceMilkBad
8,14,Lattebad,20,fondenteright,23,1,825,fond4,DGMB,practice,practiceMilkBad
8,14,Lattebad,22,badleft,23,0,1517,dolore,DGMB,practice,practiceMilkBad
8,14,Lattebad,24,fondenteright,23,1,810,fond5,DGMB,practice,practiceMilkBad
8,14,Lattebad,26,badleft,18,1,667,orribile,DGMB,practice,practiceMilkBad
8,14,Lattebad,28,latteleft,23,0,1079,latte7,DGMB,practice,practiceMilkBad
8,14,Lattebad,30,goodright,23,1,870,buono,DGMB,practice,practiceMilkBad
8,14,Lattebad,32,fondenteright,18,0,1057,fond2,DGMB,practice,practiceMilkBad
8,14,Lattebad,34,badleft,18,1,1850,fastidioso,DGMB,practice,practiceMilkBad
8,14,Lattebad,36,latteleft,18,1,706,latte2,DGMB,practice,practiceMilkBad
8,14,Lattebad,38,goodright,18,0,2950,meraviglioso,DGMB,practice,practiceMilkBad
8,14,Lattebad,40,latteleft,18,1,2742,latte1,DGMB,practice,practiceMilkBad
8,14,Lattebad,43,fondenteright,23,1,545,fond1,DGMB,test,testMilkBad
8,14,Lattebad,45,goodright,23,1,478,ridere,DGMB,test,testMilkBad
8,14,Lattebad,47,fondenteright,23,1,453,fond6,DGMB,test,testMilkBad
8,14,Lattebad,49,goodright,23,1,478,pace,DGMB,test,testMilkBad
8,14,Lattebad,51,fondenteright,23,1,453,fond3,DGMB,test,testMilkBad
